"SID","SName","SCity","Address","Risk"
3,Палекс              ,Саратов             ,Павлова 49                                        ,1
12,Русинтек            ,Ярославль           ,Пекинская 48                                      ,3
22,Феникс              ,Ростов-на-Дону      ,Радистов 11                                       ,3
31,Палекс              ,Ижевск              ,Садовая 45                                        ,1
41,Зет-Стоун           ,Екатеринбург        ,Серова 21                                         ,3
51,Райдос              ,Красноярск          ,Спасская 31                                       ,3
60,Палекс              ,Тюмень              ,Танкистов 19                                      ,1
67,"ООО ""Самоходов""     ",Новгород            ,Трактовая 23                                      ,2
79,Райдос              ,Краснодар           ,Туруханская 24                                    ,1
89,Мегаком             ,Санкт-Петербург     ,Учебная 2                                         ,2
97,Зет-Стоун           ,Ростов-на-Дону      ,Химфармзавод 50                                   ,2
107,Райдос              ,Барнаул             ,Цинковая 26                                       ,1
117,Мегаком             ,Новгород            ,Черняховского 25                                  ,2
127,Янус                ,Воронеж             ,Шершни 19                                         ,3
137,ВАЛСИ               ,Ярославль           ,Щукина 38                                         ,2
146,"ООО ""Петрикофф""     ",Челябинск           ,Юргинская 38                                      ,3
156,"ООО ""ВиК-инжиниринг""",Ижевск              ,Агалакова 23                                      ,1
166,СлавКабель          ,Екатеринбург        ,Артиллерийская 4                                  ,3
177,ИП Лебедева И.С.    ,Воронеж             ,Васенко 12                                        ,3
187,"ООО ""Сварожич""      ",Ярославль           ,Вязовой 24                                        ,3
197,Кварц               ,Ростов-на-Дону      ,Грозненская 15                                    ,1
206,"ООО ""Эльтадор-М""    ",Ижевск              ,Ереванская 4                                      ,3
216,"ООО ""Слог""          ",Екатеринбург        ,Завалишина 5                                      ,3
226,"ООО ""МТА""           ",Красноярск          ,Инженерная 16                                     ,1
238,Синапсис            ,Москва              ,Коммунистическая 18                               ,2
245,e-Volt              ,Омск                ,Костромская 11                                    ,3
257,Мегаком             ,Барнаул             ,Ленина 46                                         ,1
266,Синапсис            ,Екатеринбург        ,Луначарского 35                                   ,1
279,"ООО ""Абсолют""       ",Краснодар           ,Молодогвардейцев 48                               ,3
290,"ООО ""Эльтадор-М""    ",Новосибирск         ,Нязепетровская 1                                  ,1
300,"ООО ""Слог""          ",Краснодар           ,Оренбургская 3                                    ,2
312,ИП Карачаров В.В.   ,Ярославль           ,Паросиловой 17                                    ,1
321,Зет-Стоун           ,Челябинск           ,Путевая 30                                        ,1
331,Райдос              ,Ижевск              ,Рылеева 28                                        ,3
342,"ООО ""Петрикофф""     ",Новгород            ,Седовцев 38                                       ,2
350,Синапсис            ,Пермь               ,Славянская 28                                     ,1
361,ВАЛСИ               ,Владивосток         ,Тагильская 45                                     ,2
371,ИП Кахраманов Э.Б.  ,Челябинск           ,Транзитная 1                                      ,2
383,"ООО ""Сварожич""      ",Ульяновск           ,Угольная 9                                        ,1
391,"ООО ""Абсолют""       ",Екатеринбург        ,Успенского 33                                     ,3
403,"ООО ""Самоходов""     ",Саратов             ,Хрустальная 50                                    ,3
413,e-Volt              ,Москва              ,Чапаева 48                                        ,3
423,Палекс              ,Уфа                 ,Чичерина 39                                       ,3
433,Зет-Стоун           ,Ульяновск           ,Ширшова 36                                        ,2
441,e-Volt              ,Екатеринбург        ,Энгельса 25                                       ,2
451,Палекс              ,Красноярск          ,Якорная 36                                        ,3
463,Янус                ,Москва              ,Андижанская 22                                    ,1
470,Феникс              ,Омск                ,Бажова 38                                         ,3
481,Мегаком             ,Ижевск              ,Василевского 50                                   ,3
489,Зет-Стоун           ,Санкт-Петербург     ,Вязовая 35                                        ,2
498,Феникс              ,Уфа                 ,Грибоедова 19                                     ,3
6,"ООО ""Петрикофф""     ",Ижевск              ,Парашютная 33                                     ,3
10,"ООО ""Эльтадор-М""    ",Иркутск             ,Партизанская 45                                   ,1
11,"ООО ""Самоходов""     ",Владивосток         ,Пархоменко 33                                     ,2
20,"ООО ""Слог""          ",Омск                ,Пятницкого 33                                     ,3
21,e-Volt              ,Челябинск           ,Рабоче-Крестьянская 7                             ,3
30,"ООО ""МТА""           ",Тольятти            ,Ряжская 23                                        ,1
32,ИП Карачаров В.В.   ,Барнаул             ,Садоводческая 16                                  ,3
40,Русинтек            ,Новосибирск         ,Серафимовича 31                                   ,3
42,Синапсис            ,Новгород            ,Серпуховская 49                                   ,3
46,Мотэк-99            ,Челябинск           ,Слаботочная 4                                     ,1
52,Viva                ,Воронеж             ,Спорта 13                                         ,3
57,Кварц               ,Барнаул             ,Степана Разина 33                                 ,3
63,ИП Кахраманов Э.Б.  ,Москва              ,Тепловозная 4                                     ,2
69,Зет-Стоун           ,Казань              ,Троицкая 49                                       ,1
73,"ООО ""ИРБИС-ВЕНТ""    ",Уфа                 ,Трудовая 24                                       ,3
80,Viva                ,Тольятти            ,Угольная 29                                       ,1
83,"ООО ""Абсолют""       ",Ульяновск           ,Ульяновская 30                                    ,3
88,ИП Карачаров В.В.   ,Москва              ,Успенского 41                                     ,3
93,ИП Лебедева И.С.    ,Самара              ,Хабаровский 31                                    ,3
101,"ООО ""ИРБИС-ВЕНТ""    ",Красноярск          ,Худякова 27                                       ,3
103,"ООО ""Сварожич""      ",Саратов             ,Цветущая 9                                        ,1
111,"ООО ""Абсолют""       ",Владивосток         ,Чарчана 6                                         ,1
113,Кварц               ,Москва              ,Чебаркульская 2                                   ,3
123,"ООО ""Самоходов""     ",Уфа                 ,Шаумяна 41                                        ,3
128,"ООО ""ВиК-инжиниринг""",Саратов             ,Шестая 7                                          ,3
132,"ООО ""Слог""          ",Барнаул             ,Школьная 42                                       ,3
139,"ООО ""Абсолют""       ",Санкт-Петербург     ,Энергетиков 21                                    ,2
142,"ООО ""МТА""           ",Новгород            ,Эстонский 22                                      ,1
148,"ГК ""ФизТех""         ",Уфа                 ,Якорная 9                                         ,2
152,Русинтек            ,Воронеж             ,Августовская 31                                   ,3
158,Мотэк-99            ,Ульяновск           ,Анапский 28                                       ,2
162,Феникс              ,Ярославль           ,Аптечная 26                                       ,3
167,"ООО ""Абсолют""       ",Новгород            ,Бажова 13                                         ,1
172,ИП Карачаров В.В.   ,Ростов-на-Дону      ,Брянская 45                                       ,2
178,"ООО ""Эльтадор-М""    ",Саратов             ,Василевского 4                                    ,2
182,Синапсис            ,Барнаул             ,Винницкая 12                                      ,3
188,"ООО ""Слог""          ",Москва              ,Гагарина 34                                       ,3
192,Viva                ,Новгород            ,Героическая 20                                    ,2
198,"ООО ""МТА""           ",Уфа                 ,Гусеничный 49                                     ,3
202,"ООО ""Петрикофф""     ",Воронеж             ,Дружбы 2                                          ,3
208,Русинтек            ,Ульяновск           ,Железноводская 18                                 ,1
213,"ООО ""ИРБИС-ВЕНТ""    ",Москва              ,Жукова 27                                         ,3
218,Феникс              ,Самара              ,Запорожская 6                                     ,1
223,"ООО ""Абсолют""       ",Уфа                 ,Зыкова 24                                         ,2
228,ИП Карачаров В.В.   ,Саратов             ,Искусств 39                                       ,2
235,"ООО ""Самоходов""     ",Иркутск             ,Карпенко 18                                       ,1
236,Русинтек            ,Владивосток         ,Катерная 11                                       ,3
247,Райдос              ,Ростов-на-Дону      ,Кошевого 22                                       ,3
246,Феникс              ,Челябинск           ,Котина 15                                         ,2
254,"ООО ""МТА""           ",Краснодар           ,Красносельская 25                                 ,2
255,Палекс              ,Тольятти            ,Красноуфимская 18                                 ,2
264,Русинтек            ,Санкт-Петербург     ,Ломоносова 25                                     ,3
274,Феникс              ,Волгоград           ,Малиновая 7                                       ,2
284,ИП Карачаров В.В.   ,Тюмень              ,Нахимова 35                                       ,3
294,Синапсис            ,Казань              ,Обухова 25                                        ,2
304,Viva                ,Краснодар           ,Отечественная 49                                  ,1
314,"ООО ""Петрикофф""     ",Санкт-Петербург     ,Пархоменко 43                                     ,1
325,"ООО ""ИРБИС-ВЕНТ""    ",Пермь               ,Радистов 32                                       ,2
337,Кварц               ,Ярославль           ,Свободы 3                                         ,2
347,"ООО ""Самоходов""     ",Ростов-на-Дону      ,Силикатная 4                                      ,2
358,Феникс              ,Ульяновск           ,Сталелитейная 18                                  ,1
368,ИП Карачаров В.В.   ,Самара              ,Толбухина 43                                      ,3
377,Зет-Стоун           ,Воронеж             ,Тульская 16                                       ,1
389,ВАЛСИ               ,Санкт-Петербург     ,Уральская 20                                      ,2
398,"ООО ""Петрикофф""     ",Уфа                 ,Харлова 22                                        ,3
407,Янус                ,Барнаул             ,Цвиллинга 48                                      ,1
416,Viva                ,Екатеринбург        ,Чебаркульская 33                                  ,1
426,"ООО ""Петрикофф""     ",Красноярск          ,Шаумяна 4                                         ,1
436,"ООО ""ВиК-инжиниринг""",Владивосток         ,Шлюзовая 36                                       ,3
446,СлавКабель          ,Челябинск           ,Южная 50                                          ,1
456,"ГК ""ФизТех""         ",Ижевск              ,Авиационная 34                                    ,1
466,Мотэк-99            ,Екатеринбург        ,Аральская 33                                      ,2
476,"ГК ""Эталон""         ",Красноярск          ,Бугурусланская 48                                 ,3
486,"ООО ""Эльтадор-М""    ",Владивосток         ,Витебская 42                                      ,3
496,"ООО ""Слог""          ",Челябинск           ,Герцена 21                                        ,1
506,"ООО ""МТА""           ",Ижевск              ,Евтеева 30                                        ,3
517,Зет-Стоун           ,Новгород            ,Жуковского 40                                     ,2
527,Райдос              ,Воронеж             ,Ижевская 36                                       ,2
533,Кварц               ,Ульяновск           ,Кадиевская 24                                     ,1
543,"ООО ""Самоходов""     ",Самара              ,Комсомольская 46                                  ,1
552,"ООО ""Слог""          ",Воронеж             ,Красноармейская 13                                ,3
