"SPID","Quantity","Price","ShipDate","PID","SID"
3,423,382.62,2014-12-23,252,653
1,536,48.36,2015-01-04,378,806
2,623,249.69,2012-06-12,1084,394
6,62,498.18,2012-05-31,334,225
4,21,88.11,2014-10-10,484,244
7,188,230.42,2015-01-13,332,199
9,57,463.2,2014-11-11,1182,566
5,470,95.97,2013-11-10,968,773
8,38,405.19,2013-03-01,790,701
10,55,449.42,2013-10-13,700,849
12,39,127.85,2014-08-21,487,322
13,5,413.39,2012-11-26,465,111
14,656,273.36,2012-09-06,908,939
11,377,222.97,2012-01-24,1146,756
16,70,12.83,2013-05-18,978,22
15,474,407.21,2014-07-10,449,1086
17,369,493.67,2012-08-28,536,543
18,407,78.28,2013-01-17,497,896
20,53,137.52,2012-01-31,544,471
19,557,23.31,2012-05-21,1108,277
21,2,157.03,2012-11-08,708,1152
22,99,112.43,2014-09-15,488,813
23,86,111.66,2012-05-17,184,1134
24,378,419.59,2014-11-17,625,656
25,239,423.56,2013-04-22,42,1063
26,575,29.19,2014-04-23,1196,312
27,531,138.78,2014-12-18,42,271
29,165,398.84,2014-01-29,580,41
28,8,384.22,2014-08-09,469,526
30,349,216.48,2013-06-09,228,1173
33,6,219.93,2013-10-17,181,631
34,695,46.22,2013-11-24,932,366
35,584,299.79,2014-06-09,260,1109
31,156,495.52,2012-10-08,777,305
32,65,462.82,2012-03-15,919,38
36,7,333.48,2012-11-02,485,1043
37,56,110.95,2012-03-27,993,594
39,441,114.17,2012-01-19,1181,451
38,324,383.03,2013-08-28,273,647
40,16,488.05,2014-05-11,670,807
41,420,262.25,2014-06-01,491,800
45,20,288.64,2013-08-15,1150,784
43,229,451.41,2013-05-23,205,1081
44,55,336.62,2012-03-09,845,378
46,486,463.96,2012-08-16,397,980
42,581,10.19,2013-12-29,827,271
47,32,200.02,2014-02-10,579,815
49,399,499.6,2015-01-28,100,263
48,5,362.45,2012-02-22,1198,633
50,234,461.92,2014-01-03,433,292
51,27,276.25,2015-01-23,53,715
55,80,19.32,2013-07-26,92,325
56,69,330.92,2013-04-28,566,365
54,7,111.42,2014-01-10,117,377
52,557,292.55,2013-12-06,381,112
57,644,385.71,2013-12-02,292,628
53,536,199.17,2013-01-07,980,608
58,470,51.46,2012-08-10,482,266
59,52,230.54,2012-11-27,247,244
60,612,452.63,2014-01-23,450,402
61,449,408.45,2014-06-23,792,857
62,78,304.38,2013-03-04,545,1047
65,39,418.54,2013-07-28,1199,1180
64,56,316.75,2015-02-02,974,698
63,28,488.39,2012-12-18,799,841
67,41,204.87,2014-02-14,160,598
66,42,309.24,2013-10-27,567,1016
69,23,108.68,2014-12-29,82,596
68,490,123.18,2012-10-22,520,973
70,22,257.23,2014-02-09,837,330
71,28,413.35,2014-05-31,709,689
72,66,199.88,2012-01-08,806,225
73,19,102.84,2014-12-12,294,331
77,37,267.42,2012-05-21,835,513
75,62,348.77,2013-03-23,206,353
74,46,133.57,2014-05-13,726,13
76,12,248.11,2014-09-03,1062,503
78,696,191.42,2012-08-01,137,731
81,692,234.26,2012-04-23,984,304
80,55,191.43,2013-09-23,630,39
79,53,365.94,2014-08-04,115,1155
82,24,250.49,2014-05-15,1126,949
83,346,146.67,2014-05-31,1193,749
84,274,165.17,2012-04-07,299,228
87,531,160.71,2013-10-23,850,1020
85,334,300.61,2012-12-20,340,718
86,49,157.1,2014-05-18,71,1035
88,431,246.43,2014-10-20,682,487
90,60,426.05,2014-05-18,1067,972
89,13,239.4,2013-03-18,1183,245
93,159,219.86,2014-12-20,1050,1131
91,21,389.58,2013-04-27,1002,581
92,266,38.73,2015-01-30,621,900
94,46,314.97,2014-03-14,902,702
95,23,421.26,2014-07-17,470,541
96,215,382.42,2012-11-01,1064,268
97,585,64.04,2013-07-27,941,855
98,24,67.95,2013-11-03,567,64
99,57,131.05,2013-03-20,726,647
100,82,310.73,2012-09-15,954,419
103,297,474.38,2013-03-31,690,834
102,679,93.63,2015-02-03,840,783
104,45,315.33,2012-05-08,797,951
105,12,241.67,2013-08-20,384,1077
101,99,34.26,2013-07-06,189,196
107,419,433.26,2014-11-01,852,589
106,442,145.17,2012-07-27,244,509
108,364,79.44,2014-07-10,522,968
109,1,170.04,2013-01-16,853,261
112,546,193.31,2013-01-26,104,291
113,17,499.29,2013-07-04,165,522
14295,27,184.39,2015-01-04,2336,1987
111,5,402.22,2014-10-19,1119,860
115,3,423.44,2013-11-30,239,1100
